image,x,y,dots_in_circle,area,luma,blueness,R,G,B,ncomp
20260423123750368(1).png,1100,611,1,259,66.1855697631836,135.7953643798828,23.362934112548828,69.94208526611328,159.15829467773438,1
20260423123750368(1).png,1659,819,1,491,86.84654998779297,145.68023681640625,36.70468521118164,93.83299255371094,182.3849334716797,1
20260423173742977(1).png,2887,1062,3,516,84.84976959228516,127.49418640136719,39.00193786621094,92.3469009399414,166.49612426757812,3
20260428112802891(1).png,1680,704,3,68,111.142333984375,184.73529052734375,33.514705657958984,129.88235473632812,218.25,3
20260428112802891(1).png,1329,1067,5,506,100.6093521118164,170.75494384765625,25.379446029663086,120.37747192382812,196.13438415527344,5
20260428112920633(1).png,3106,1174,3,397,108.3160400390625,184.72796630859375,26.345088958740234,130.1133575439453,211.0730438232422,3
20260428112944151(1).png,2093,1286,3,282,105.82376861572266,185.0992889404297,26.875886917114258,125.42198944091797,211.9751739501953,3
20260428112958488(1).png,3708,621,4,286,99.544677734375,178.3391571044922,20.32517433166504,120.6468505859375,198.66433715820312,4
20260428112958488(1).png,3492,965,2,326,103.31312561035156,168.97239685058594,27.426380157470703,123.88957214355469,196.39877319335938,2
20260428114024668(1).png,2171,2858,1,624,90.31585693359375,156.16346740722656,37.94230651855469,96.83654022216797,194.10577392578125,1
20260428114029363(1).png,1623,269,1,481,80.46644592285156,162.4677734375,20.75259780883789,90.92723846435547,183.22036743164062,1
20260428114029363(1).png,2520,1163,3,551,91.4583969116211,171.34120178222656,26.784029006958008,103.68602752685547,198.12522888183594,3
20260428114029363(1).png,2359,1250,2,445,89.50438690185547,163.71910095214844,27.734830856323242,101.16854095458984,191.4539337158203,2
20260428114059979(1).png,3644,2738,3,638,78.45989990234375,155.84483337402344,28.824451446533203,83.1159896850586,184.66928100585938,3
20260428114059979(1).png,2993,3559,1,298,55.090087890625,129.69798278808594,18.325504302978516,55.768455505371094,148.0234832763672,1
20260429095155329(1).png,3309,505,1,343,49.24332809448242,84.42273712158203,32.137027740478516,44.88338088989258,116.55976867675781,1
20260429095155329(1).png,2548,1224,2,561,91.87525939941406,93.9910888671875,56.02495574951172,98.84491729736328,150.0160369873047,2
20260429095602081(1).png,2482,1492,3,107,115.1590347290039,148.07476806640625,49.32710266113281,132.71961975097656,197.40187072753906,3
20260429101405941(1).png,1482,426,2,159,94.369140625,170.5974884033203,26.1446533203125,109.2389907836914,196.7421417236328,2
20260429101405941(1).png,2169,486,3,374,109.07209014892578,176.7513427734375,29.64171028137207,130.63101196289062,206.39305114746094,3
20260502094615386(1).png,1979,1366,2,347,104.4133071899414,140.4438018798828,56.227664947509766,111.04034423828125,196.6714630126953,2
20260502094615386(1).png,2391,2261,2,348,96.10446166992188,135.3850555419922,57.5431022644043,96.9425277709961,192.92816162109375,2
20260502094615386(1).png,1899,2478,5,212,110.57382202148438,149.117919921875,52.97169876098633,122.14151000976562,202.08963012695312,5
20260502094615386(1).png,3492,2552,3,501,98.87571716308594,135.3692626953125,52.552894592285156,105.17764282226562,187.92214965820312,3
20260502100946369(1).png,1278,657,3,12,94.44208526611328,179.3333282470703,26.5,107.41666412353516,205.8333282470703,3
20260502102237064(1).png,1888,1612,2,354,102.99947357177734,142.52542114257812,49.71751403808594,112.80790710449219,192.24293518066406,2
20260502102400384(1).png,2427,1717,4,317,106.21316528320312,164.34384155273438,40.54574203491211,120.49842071533203,204.88958740234375,4
20260502102444282(1).png,2404,2055,5,80,116.78330993652344,151.0124969482422,59.849998474121094,127.51249694824219,210.8625030517578,5
20260502102444282(1).png,1607,2155,2,378,105.1932144165039,146.67724609375,56.4603157043457,110.99470520019531,203.1375732421875,2
20260502161155010(1).png,2958,1403,2,252,103.72490692138672,152.61111450195312,51.0396842956543,111.1547622680664,203.65078735351562,2
20260502161155010(1).png,2418,2756,3,359,96.29238891601562,152.2869110107422,44.679664611816406,103.0306396484375,196.96656799316406,3
20260502161214047(1).png,2446,925,1,310,113.51113891601562,163.80645751953125,39.564517974853516,133.72579956054688,203.3709716796875,1
20260502161214047(1).png,1052,1685,1,244,91.12024688720703,160.3524627685547,32.12295150756836,101.48770141601562,192.47540283203125,1
20260502161214047(1).png,3456,2627,1,765,60.38261795043945,160.2483673095703,20.065359115600586,57.6274528503418,180.313720703125,1
20260502161559484(1).png,2967,2805,1,325,99.0701675415039,154.9600067138672,50.10769271850586,103.42461395263672,205.06768798828125,1
